Name,Gold_Medals,Silver_Medals,Bronze_Medals
"Michael Fred Phelps, II",23,3,2
"Raymond Clarence ""Ray"" Ewry",10,0,0
Paavo Johannes Nurmi,9,3,0
Mark Andrew Spitz,9,1,1
Larysa Semenivna Latynina (Diriy-),9,5,4
"Frederick Carlton ""Carl"" Lewis",9,1,0
Sawao Kato,8,3,1
"Matthew Nicholas ""Matt"" Biondi",8,2,1
Ole Einar Bjrndalen,8,4,1
Usain St. Leo Bolt,8,0,0
Birgit Fischer-Schmidt,8,4,0
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",8,3,1
Borys Anfiyanovych Shakhlin,7,4,2
"Donald Arthur ""Don"" Schollander",7,1,0
Nikolay Yefimovich Andrianov,7,5,3
Viktor Ivanovych Chukarin,7,3,1
Vra slavsk (-Odloilov),7,4,0
Aladr Gerevich (-Gerei),7,1,2
Gert Fridolf Fredriksson,6,1,1
Allyson Michelle Felix,6,3,0
Vitaly Venediktovich Shcherbo,6,0,4
Lidiya Pavlovna Skoblikova (-Polozkova),6,0,0
Kristin Otto,6,0,0
Nedo Nadi,6,0,0
Akinori Nakayama,6,2,2
Edoardo Mangiarotti,6,5,2
Rudolf Krpti,6,0,0
Jason Francis Kenny,6,1,0
Pl dm Kovcs,6,0,1
Reiner Klimke,6,0,2
"Christopher Andrew ""Chris"" Hoy",6,1,0
Ryan Steven Lochte,6,3,3
Marit Bjrgen,6,3,1
Viktor An,6,0,2
Lyubov Ivanovna Yegorova,6,3,0
Isabelle Regina Werth,6,4,0
Amy Deloris Van Dyken (-Rouen),6,0,0
Gerard Theodor Hubert Van Innis,6,4,0
Maria Valentina Vezzali,6,1,2
Dana Whitney Vollmer (-Grant),5,1,1
"Peter Johann ""Johnny"" Weissmuller",5,0,1
Bradley Marc Wiggins,5,1,2
Hans Gnter Winkler,5,1,1
Wu Minxia,5,1,1
Zou Kai,5,0,1
Mitsuo Tsukahara,5,1,3
Elisabeta Oleniuc-Lip,5,2,1
Takashi Ono,5,4,4
Carl Townsend Osburn,5,4,2
Aleksandr Vladimirovich Popov,5,6,0
Claudia Pechstein,5,2,2
Aaron Wells Peirsol,5,2,0
Krisztina Egerszegi,5,1,1
Yukio Endo,5,2,0
"Morris ""Bud"" Fisher",5,0,0
"Melissa Jeanette ""Missy"" Franklin",5,0,1
Anton Heida,5,1,0
Eric Arthur Heiden,5,0,0
Georgeta Damian-Andrunache,5,0,1
"Charles Meldrum ""Charlie"" Daniels",5,1,2
Anastasiya Semyonovna Davydova,5,0,0
"Gary Wayne Hall, Jr.",5,3,2
Martin Joseph Sheridan,5,3,1
"Stephen Geoffrey ""Steven"" Redgrave",5,0,1
Louis Marcel Richardet,5,1,0
"Viljo Eino ""Ville"" Ritola (Koukkari-)",5,3,0
Ian James Thorpe,5,3,1
Arnold Clas Robert Thunberg,5,1,1
Svetlana Alekseyevna Romashina,5,0,0
Polina Hryhorivna Astakhova,5,2,3
Chen Ruolin,5,0,0
Nathan Ghar-Jun Adrian,5,1,2
Thomas Alsgaard (Alsgrd-),5,1,0
Bonnie Kathleen Blair (-Cruikshank),5,0,1
"Stephen Edward ""Steve"" Clark",5,0,0
Nadia Elena Comneci (-Conner),5,3,1
Danuta Kozk,5,1,0
Nataliya Sergeyevna Ishchenko,5,0,0
"Thomas Michael ""Tom"" Jager",5,1,1
gnes Keleti-Srkny (Klein),5,3,2
"Alfred Page ""Al"" Lane",5,0,1
Larisa Yevgenyevna Lazutina (Ptitsyna-),5,1,1
"Kathleen Genevieve ""Katie"" Ledecky",5,1,0
"Willis Augustus Lee, Jr.",5,1,1
Ole Andreas Lilloe-Olsen,5,1,0
"Nellya Vladimirovna ""Nelli"" Kim (-Achasov)",5,1,0
Kim Su-Nyeong,4,1,1
Kosuke Kitajima,4,1,2
Yana Oleksandrivna Klochkova,4,1,0
"Johan Pietari ""Hannes"" Kolehmainen",4,1,0
"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",4,2,0
Jeon I-Gyeong,4,0,1
Edy Sixten Jernberg,4,3,2
Jin Jong-O,4,2,0
Michael Duane Johnson,4,0,0
"Gregory Efthimios ""Greg"" Louganis",4,1,0
Robert Marek Korzeniowski,4,0,0
Johann Olav Koss,4,1,0
Janica Kosteli,4,2,0
"Alvin Christian ""Al"" Kraenzlein",4,0,0
Lenny Krayzelburg,4,0,0
Viktor Alekseyevich Krovopuskov,4,0,0
Galina Alekseyevna Kulakova,4,2,2
Gyz Kulcsr,4,0,2
Kevin Kuske,4,1,0
Andr Lange,4,1,0
Eric Otto Valdemar Lemming,4,0,3
"Lisbeth Constance ""Libby"" Lenton-Trickett",4,1,2
Lisa Deshawn Leslie (-Lockwood),4,0,0
Jason Edward Lezak,4,2,2
Li Xiaopeng,4,0,1
Einar Liberg,4,2,1
"James Davies ""Jim"" Lightbody",4,2,0
Marcus Latimer Hurley,4,0,1
Kaori Icho,4,0,0
Doina Ignat,4,1,1
"Matthew ""Matt"" Grevers",4,2,0
Yevgeny Romanovich Grishin,4,1,0
Ricco Gro,4,3,1
Guo Jingjing,4,2,0
"Charles Archibald ""Archie"" Hahn",4,0,0
Brbel Eckert-Wckel,4,0,0
Teresa Edwards,4,0,1
Paul Bert Elvstrm,4,0,0
